date,country,D,H,I,M,S
2021-04-21,Australia,1,1,2,13,8
2021-04-21,Sweden,1,1,0,6,2
2021-04-22,Afghanistan,0,3,0,27,10
2021-04-22,Australia,1,1,1,14,8
2021-04-22,Sweden,1,1,0,6,2
2021-04-23,Afghanistan,0,3,0,28,9
2021-04-23,Australia,1,1,1,15,7
2021-04-23,Sweden,1,1,0,7,1
2021-04-24,Afghanistan,0,2,1,31,6
2021-04-24,Australia,1,1,1,15,7
2021-04-24,Sweden,1,1,0,7,1
2021-04-25,Afghanistan,0,2,1,32,5
2021-04-25,Australia,1,1,0,17,6
2021-04-25,Sweden,1,1,0,7,1
2021-04-26,Afghanistan,0,2,1,32,5
2021-04-26,Australia,1,1,0,20,3
2021-04-26,Sweden,1,1,0,7,1
2021-04-27,Afghanistan,0,2,1,34,3
2021-04-27,Australia,1,0,1,20,3
2021-04-27,Sweden,2,1,0,7,0
2021-04-28,Afghanistan,0,2,0,37,1
2021-04-28,Australia,1,0,1,21,2
2021-04-28,Sweden,2,1,0,7,0
2021-04-29,Afghanistan,0,2,0,38,0
2021-04-29,Australia,1,0,1,21,2
2021-04-29,Sweden,2,1,0,7,0
2021-04-30,Afghanistan,0,2,0,38,0
2021-04-30,Australia,1,0,1,21,2
2021-04-30,Sweden,2,1,0,7,0
2021-05-01,Afghanistan,0,2,0,38,0
2021-05-01,Australia,1,0,0,21,3
2021-05-01,Sweden,2,1,0,7,0
2021-05-02,Afghanistan,0,1,1,38,0
2021-05-02,Australia,1,0,0,21,3
2021-05-02,Sweden,2,1,0,7,0
2021-05-03,Afghanistan,0,1,1,38,0
2021-05-03,Australia,1,0,0,21,3
2021-05-03,Sweden,2,1,0,7,0
2021-05-04,Afghanistan,0,1,1,38,0
2021-05-04,Australia,1,0,0,22,2
2021-05-04,Sweden,2,1,0,7,0
2021-05-05,Afghanistan,0,1,1,38,0
2021-05-05,Australia,1,0,0,22,2
2021-05-05,Sweden,2,1,0,7,0
2021-05-06,Afghanistan,0,1,0,38,1
2021-05-06,Australia,1,0,0,23,1
2021-05-06,Sweden,2,1,0,7,0
2021-05-07,Afghanistan,0,1,0,38,1
2021-05-07,Australia,1,0,0,23,1
2021-05-07,Sweden,2,1,0,7,0
2021-05-08,Afghanistan,0,1,0,38,1
2021-05-08,Australia,1,0,0,23,1
2021-05-08,Sweden,2,1,0,7,0
2021-05-09,Afghanistan,0,1,0,38,1
2021-05-09,Australia,1,0,0,23,1
2021-05-09,Sweden,2,0,1,7,0
2021-05-10,Afghanistan,0,0,1,38,1
2021-05-10,Australia,1,0,0,23,1
2021-05-10,Sweden,2,0,1,7,0
2021-05-11,Afghanistan,0,0,1,38,1
2021-05-11,Australia,1,0,0,23,1
2021-05-11,Sweden,2,0,1,7,0
2021-05-12,Afghanistan,0,0,1,38,1
2021-05-12,Australia,1,0,0,23,1
2021-05-12,Sweden,2,0,1,7,0
2021-05-13,Afghanistan,0,0,1,38,1
2021-05-13,Australia,1,0,0,23,1
2021-05-13,Sweden,2,0,0,7,1
2021-05-14,Afghanistan,0,0,0,38,2
2021-05-14,Australia,1,0,0,23,1
2021-05-14,Sweden,2,0,0,7,1
2021-05-15,Afghanistan,0,0,0,38,2
2021-05-15,Australia,1,0,0,24,0
2021-05-15,Sweden,2,0,0,7,1
2021-05-16,Afghanistan,0,0,0,38,2
2021-05-16,Australia,1,0,0,24,0
2021-05-16,Sweden,2,0,0,7,1
2021-05-17,Afghanistan,0,0,0,38,2
2021-05-17,Australia,1,0,0,24,0
2021-05-17,Sweden,2,0,0,7,1
2021-05-18,Afghanistan,0,0,0,38,2
2021-05-18,Australia,1,0,0,24,0
2021-05-18,Sweden,2,0,0,7,1
2021-05-19,Afghanistan,0,0,0,38,2
2021-05-19,Australia,1,0,0,24,0
2021-05-19,Sweden,2,0,0,7,1
2021-05-20,Afghanistan,0,0,0,39,1
2021-05-20,Australia,1,0,0,24,0
2021-05-20,Sweden,2,0,0,7,1
2021-05-21,Afghanistan,0,0,0,39,1
2021-05-21,Australia,1,0,0,24,0
2021-05-21,Sweden,2,0,0,7,1
2021-05-22,Afghanistan,0,0,0,39,1
2021-05-22,Australia,1,0,0,24,0
2021-05-22,Sweden,2,0,0,7,1
2021-05-23,Afghanistan,0,0,0,39,1
2021-05-23,Australia,1,0,0,24,0
2021-05-23,Sweden,2,0,0,7,1
2021-05-24,Afghanistan,0,0,0,39,1
2021-05-24,Australia,1,0,0,24,0
2021-05-24,Sweden,2,0,0,7,1
2021-05-25,Afghanistan,0,0,0,39,1
2021-05-25,Australia,1,0,0,24,0
2021-05-25,Sweden,2,0,0,7,1
2021-05-26,Afghanistan,0,0,0,39,1
2021-05-26,Australia,1,0,0,24,0
2021-05-26,Sweden,2,0,0,7,1
2021-05-27,Afghanistan,0,0,0,39,1
2021-05-27,Australia,1,0,0,24,0
2021-05-27,Sweden,2,0,0,8,0
2021-05-28,Afghanistan,0,0,0,40,0
2021-05-28,Australia,1,0,0,24,0
2021-05-28,Sweden,2,0,0,8,0
2021-05-29,Afghanistan,0,0,0,40,0
2021-05-29,Australia,1,0,0,24,0
2021-05-29,Sweden,2,0,0,8,0
2021-05-30,Afghanistan,0,0,0,40,0
2021-05-30,Australia,1,0,0,24,0
2021-05-30,Sweden,2,0,0,8,0
2021-05-31,Afghanistan,0,0,0,40,0
2021-05-31,Australia,1,0,0,24,0
2021-05-31,Sweden,2,0,0,8,0
2021-06-01,Afghanistan,0,0,0,40,0
2021-06-01,Australia,1,0,0,24,0
2021-06-01,Sweden,2,0,0,8,0
2021-06-02,Afghanistan,0,0,0,40,0
2021-06-02,Australia,1,0,0,24,0
2021-06-02,Sweden,2,0,0,8,0
2021-06-03,Afghanistan,0,0,0,40,0
2021-06-03,Australia,1,0,0,24,0
2021-06-03,Sweden,2,0,0,8,0
2021-06-04,Afghanistan,0,0,0,40,0
2021-06-04,Australia,1,0,0,24,0
2021-06-04,Sweden,2,0,0,8,0
2021-06-05,Afghanistan,0,0,0,40,0
2021-06-05,Australia,1,0,0,24,0
2021-06-05,Sweden,2,0,0,8,0
2021-06-06,Afghanistan,0,0,0,40,0
2021-06-06,Australia,1,0,0,24,0
2021-06-06,Sweden,2,0,0,8,0
2021-06-07,Afghanistan,0,0,0,40,0
2021-06-07,Australia,1,0,0,24,0
2021-06-07,Sweden,2,0,0,8,0
2021-06-08,Afghanistan,0,0,0,40,0
2021-06-08,Australia,1,0,0,24,0
2021-06-08,Sweden,2,0,0,8,0
2021-06-09,Afghanistan,0,0,0,40,0
2021-06-09,Australia,1,0,0,24,0
2021-06-09,Sweden,2,0,0,8,0
2021-06-10,Afghanistan,0,0,0,40,0
2021-06-10,Australia,1,0,0,24,0
2021-06-10,Sweden,2,0,0,8,0
2021-06-11,Afghanistan,0,0,0,40,0
2021-06-11,Australia,1,0,0,24,0
2021-06-11,Sweden,2,0,0,8,0
2021-06-12,Afghanistan,0,0,0,40,0
2021-06-12,Australia,1,0,0,24,0
2021-06-12,Sweden,2,0,0,8,0
2021-06-13,Afghanistan,0,0,0,40,0
2021-06-13,Australia,1,0,0,24,0
2021-06-13,Sweden,2,0,0,8,0
2021-06-14,Afghanistan,0,0,0,40,0
2021-06-14,Australia,1,0,0,24,0
2021-06-14,Sweden,2,0,0,8,0
2021-06-15,Afghanistan,0,0,0,40,0
2021-06-15,Australia,1,0,0,24,0
2021-06-15,Sweden,2,0,0,8,0
2021-06-16,Afghanistan,0,0,0,40,0
2021-06-16,Australia,1,0,0,24,0
2021-06-16,Sweden,2,0,0,8,0
2021-06-17,Afghanistan,0,0,0,40,0
2021-06-17,Australia,1,0,0,24,0
2021-06-17,Sweden,2,0,0,8,0
2021-06-18,Afghanistan,0,0,0,40,0
2021-06-18,Australia,1,0,0,24,0
2021-06-18,Sweden,2,0,0,8,0
2021-06-19,Afghanistan,0,0,0,40,0
2021-06-19,Australia,1,0,0,24,0
2021-06-19,Sweden,2,0,0,8,0
2021-06-20,Afghanistan,0,0,0,40,0
2021-06-20,Australia,1,0,0,24,0
2021-06-20,Sweden,2,0,0,8,0
2021-06-21,Afghanistan,0,0,0,40,0
2021-06-21,Australia,1,0,0,24,0
2021-06-21,Sweden,2,0,0,8,0
2021-06-22,Afghanistan,0,0,0,40,0
2021-06-22,Australia,1,0,0,24,0
2021-06-22,Sweden,2,0,0,8,0
2021-06-23,Afghanistan,0,0,0,40,0
2021-06-23,Australia,1,0,0,24,0
2021-06-23,Sweden,2,0,0,8,0
2021-06-24,Afghanistan,0,0,0,40,0
2021-06-24,Australia,1,0,0,24,0
2021-06-24,Sweden,2,0,0,8,0
2021-06-25,Afghanistan,0,0,0,40,0
2021-06-25,Australia,1,0,0,24,0
2021-06-25,Sweden,2,0,0,8,0
2021-06-26,Afghanistan,0,0,0,40,0
2021-06-26,Australia,1,0,0,24,0
2021-06-26,Sweden,2,0,0,8,0
2021-06-27,Afghanistan,0,0,0,40,0
2021-06-27,Australia,1,0,0,24,0
2021-06-27,Sweden,2,0,0,8,0
2021-06-28,Afghanistan,0,0,0,40,0
2021-06-28,Australia,1,0,0,24,0
2021-06-28,Sweden,2,0,0,8,0
2021-06-29,Afghanistan,0,0,0,40,0
2021-06-29,Australia,1,0,0,24,0
2021-06-29,Sweden,2,0,0,8,0
2021-06-30,Afghanistan,0,0,0,40,0
2021-06-30,Australia,1,0,0,24,0
2021-06-30,Sweden,2,0,0,8,0
2021-07-01,Afghanistan,0,0,0,40,0
2021-07-01,Australia,1,0,0,24,0
2021-07-01,Sweden,2,0,0,8,0
2021-07-02,Afghanistan,0,0,0,40,0
2021-07-02,Australia,1,0,0,24,0
2021-07-02,Sweden,2,0,0,8,0
2021-07-03,Afghanistan,0,0,0,40,0
2021-07-03,Australia,1,0,0,24,0
2021-07-03,Sweden,2,0,0,8,0
2021-07-04,Afghanistan,0,0,0,40,0
2021-07-04,Australia,1,0,0,24,0
2021-07-04,Sweden,2,0,0,8,0
2021-07-05,Afghanistan,0,0,0,40,0
2021-07-05,Australia,1,0,0,24,0
2021-07-05,Sweden,2,0,0,8,0
2021-07-06,Afghanistan,0,0,0,40,0
2021-07-06,Australia,1,0,0,24,0
2021-07-06,Sweden,2,0,0,8,0
2021-07-07,Afghanistan,0,0,0,40,0
2021-07-07,Australia,1,0,0,24,0
2021-07-07,Sweden,2,0,0,8,0
2021-07-08,Afghanistan,0,0,0,40,0
2021-07-08,Australia,1,0,0,24,0
2021-07-08,Sweden,2,0,0,8,0
2021-07-09,Afghanistan,0,0,0,40,0
2021-07-09,Australia,1,0,0,24,0
2021-07-09,Sweden,2,0,0,8,0
2021-07-10,Afghanistan,0,0,0,40,0
2021-07-10,Australia,1,0,0,24,0
2021-07-10,Sweden,2,0,0,8,0
2021-07-11,Afghanistan,0,0,0,40,0
2021-07-11,Australia,1,0,0,24,0
2021-07-11,Sweden,2,0,0,8,0
2021-07-12,Afghanistan,0,0,0,40,0
2021-07-12,Australia,1,0,0,24,0
2021-07-12,Sweden,2,0,0,8,0
2021-07-13,Afghanistan,0,0,0,40,0
2021-07-13,Australia,1,0,0,24,0
2021-07-13,Sweden,2,0,0,8,0
2021-07-14,Afghanistan,0,0,0,40,0
2021-07-14,Australia,1,0,0,24,0
2021-07-14,Sweden,2,0,0,8,0
2021-07-15,Afghanistan,0,0,0,40,0
2021-07-15,Australia,1,0,0,24,0
2021-07-15,Sweden,2,0,0,8,0
2021-07-16,Afghanistan,0,0,0,40,0
2021-07-16,Australia,1,0,0,24,0
2021-07-16,Sweden,2,0,0,8,0
2021-07-17,Afghanistan,0,0,0,40,0
2021-07-17,Australia,1,0,0,24,0
2021-07-17,Sweden,2,0,0,8,0
2021-07-18,Afghanistan,0,0,0,40,0
2021-07-18,Australia,1,0,0,24,0
2021-07-18,Sweden,2,0,0,8,0
2021-07-19,Afghanistan,0,0,0,40,0
2021-07-19,Australia,1,0,0,24,0
2021-07-19,Sweden,2,0,0,8,0
2021-07-20,Afghanistan,0,0,0,40,0
2021-07-20,Australia,1,0,0,24,0
2021-07-20,Sweden,2,0,0,8,0
2021-07-21,Afghanistan,0,0,0,40,0
2021-07-21,Australia,1,0,0,24,0
2021-07-21,Sweden,2,0,0,8,0
2021-07-22,Afghanistan,0,0,0,40,0
2021-07-22,Australia,1,0,0,24,0
2021-07-22,Sweden,2,0,0,8,0
2021-07-23,Afghanistan,0,0,0,40,0
2021-07-23,Australia,1,0,0,24,0
2021-07-23,Sweden,2,0,0,8,0
2021-07-24,Afghanistan,0,0,0,40,0
2021-07-24,Australia,1,0,0,24,0
2021-07-24,Sweden,2,0,0,8,0
2021-07-25,Afghanistan,0,0,0,40,0
2021-07-25,Australia,1,0,0,24,0
2021-07-25,Sweden,2,0,0,8,0
2021-07-26,Afghanistan,0,0,0,40,0
2021-07-26,Australia,1,0,0,24,0
2021-07-26,Sweden,2,0,0,8,0
2021-07-27,Afghanistan,0,0,0,40,0
2021-07-27,Australia,1,0,0,24,0
2021-07-27,Sweden,2,0,0,8,0
2021-07-28,Afghanistan,0,0,0,40,0
2021-07-28,Australia,1,0,0,24,0
2021-07-28,Sweden,2,0,0,8,0
2021-07-29,Afghanistan,0,0,0,40,0
2021-07-29,Australia,1,0,0,24,0
2021-07-29,Sweden,2,0,0,8,0
2021-07-30,Afghanistan,0,0,0,40,0
2021-07-30,Australia,1,0,0,24,0
2021-07-30,Sweden,2,0,0,8,0
2021-07-31,Afghanistan,0,0,0,40,0
2021-07-31,Australia,1,0,0,24,0
2021-07-31,Sweden,2,0,0,8,0
2021-08-01,Afghanistan,0,0,0,40,0
2021-08-01,Australia,1,0,0,24,0
2021-08-01,Sweden,2,0,0,8,0
2021-08-02,Afghanistan,0,0,0,40,0
2021-08-02,Australia,1,0,0,24,0
2021-08-02,Sweden,2,0,0,8,0
2021-08-03,Afghanistan,0,0,0,40,0
2021-08-03,Australia,1,0,0,24,0
2021-08-03,Sweden,2,0,0,8,0
2021-08-04,Afghanistan,0,4,0,36,0
2021-08-04,Australia,1,4,0,20,0
2021-08-04,Sweden,2,2,0,6,0
2021-08-05,Afghanistan,0,8,0,32,0
2021-08-05,Australia,1,5,1,18,0
2021-08-05,Sweden,2,2,1,5,0
2021-08-06,Afghanistan,0,9,0,31,0
2021-08-06,Australia,1,4,2,18,0
2021-08-06,Sweden,2,2,1,5,0
2021-08-07,Afghanistan,0,8,4,28,0
2021-08-07,Australia,1,2,4,18,0
2021-08-07,Sweden,2,1,2,5,0
2021-08-08,Afghanistan,0,8,6,26,0
2021-08-08,Australia,1,1,6,17,0
2021-08-08,Sweden,2,1,2,5,0
2021-08-09,Afghanistan,0,9,6,25,0
2021-08-09,Australia,1,2,5,16,1
2021-08-09,Sweden,2,0,2,5,1
2021-08-10,Afghanistan,0,7,9,24,0
2021-08-10,Australia,1,2,4,17,1
2021-08-10,Sweden,2,0,2,5,1
2021-08-11,Afghanistan,0,7,6,26,1
2021-08-11,Australia,1,2,2,18,2
2021-08-11,Sweden,2,0,1,5,2
2021-08-12,Afghanistan,0,7,4,27,2
2021-08-12,Australia,1,2,0,19,3
2021-08-12,Sweden,2,0,1,5,2
2021-08-13,Afghanistan,0,6,5,27,2
2021-08-13,Australia,1,2,0,19,3
2021-08-13,Sweden,2,1,0,4,3
2021-08-14,Afghanistan,0,3,5,30,2
2021-08-14,Australia,1,1,1,19,3
2021-08-14,Sweden,2,1,0,4,3
2021-08-15,Afghanistan,0,3,4,30,3
2021-08-15,Australia,1,2,1,18,3
2021-08-15,Sweden,2,1,0,4,3
2021-08-16,Afghanistan,0,2,5,30,3
2021-08-16,Australia,1,2,1,18,3
2021-08-16,Sweden,2,1,0,4,3
2021-08-17,Afghanistan,0,2,4,30,4
2021-08-17,Australia,1,3,1,17,3
2021-08-17,Sweden,2,1,0,4,3
2021-08-18,Afghanistan,0,8,1,25,6
2021-08-18,Australia,1,3,1,16,4
2021-08-18,Sweden,2,1,1,3,3
2021-08-19,Afghanistan,0,10,1,23,6
2021-08-19,Australia,1,5,1,14,4
2021-08-19,Sweden,2,2,1,2,3
2021-08-20,Afghanistan,0,12,0,21,7
2021-08-20,Australia,1,6,1,13,4
2021-08-20,Sweden,2,2,1,2,3
2021-08-21,Afghanistan,0,12,1,20,7
2021-08-21,Australia,1,6,2,12,4
2021-08-21,Sweden,2,3,1,1,3
2021-08-22,Afghanistan,0,14,2,17,7
2021-08-22,Australia,1,3,4,13,4
2021-08-22,Sweden,2,2,1,1,4
2021-08-23,Afghanistan,0,9,8,16,7
2021-08-23,Australia,1,4,5,12,3
2021-08-23,Sweden,2,1,2,2,3
2021-08-24,Afghanistan,0,8,9,16,7
2021-08-24,Australia,1,6,6,9,3
2021-08-24,Sweden,2,1,2,2,3
2021-08-25,Afghanistan,1,8,10,14,7
2021-08-25,Australia,1,6,5,11,2
2021-08-25,Sweden,2,1,2,3,2
2021-08-26,Afghanistan,2,8,12,11,7
2021-08-26,Australia,2,6,3,12,2
2021-08-26,Sweden,2,1,1,4,2
2021-08-27,Afghanistan,2,8,7,11,12
2021-08-27,Australia,2,6,2,12,3
2021-08-27,Sweden,2,1,0,5,2
2021-08-28,Afghanistan,2,5,9,12,12
2021-08-28,Australia,2,5,2,13,3
2021-08-28,Sweden,2,1,0,5,2
2021-08-29,Afghanistan,2,4,8,14,12
2021-08-29,Australia,2,5,2,13,3
2021-08-29,Sweden,2,1,0,5,2
2021-08-30,Afghanistan,2,2,7,16,13
2021-08-30,Australia,2,4,2,14,3
2021-08-30,Sweden,2,1,0,5,2
2021-08-31,Afghanistan,2,2,6,18,12
2021-08-31,Australia,2,4,2,14,3
2021-08-31,Sweden,2,1,0,5,2
2021-09-01,Afghanistan,2,2,3,20,13
2021-09-01,Australia,2,4,2,14,3
2021-09-01,Sweden,2,1,0,5,2
2021-09-02,Afghanistan,2,2,2,21,13
2021-09-02,Australia,2,4,2,14,3
2021-09-02,Sweden,2,0,1,5,2
2021-09-03,Afghanistan,3,2,0,21,14
2021-09-03,Australia,2,4,2,14,3
2021-09-03,Sweden,2,0,1,5,2
2021-09-04,Afghanistan,3,2,0,21,14
2021-09-04,Australia,2,4,2,14,3
2021-09-04,Sweden,2,0,1,5,2
2021-09-05,Afghanistan,3,2,0,21,14
2021-09-05,Australia,2,3,2,15,3
2021-09-05,Sweden,2,0,1,6,1
2021-09-06,Afghanistan,3,2,0,21,14
2021-09-06,Australia,2,3,2,15,3
2021-09-06,Sweden,2,0,0,6,2
2021-09-07,Afghanistan,3,2,0,21,14
2021-09-07,Australia,2,3,1,15,4
2021-09-07,Sweden,2,0,0,6,2
2021-09-08,Afghanistan,3,1,1,22,13
2021-09-08,Australia,2,2,2,15,4
2021-09-08,Sweden,2,0,0,6,2
2021-09-09,Afghanistan,4,1,1,22,12
2021-09-09,Australia,2,1,2,16,4
2021-09-09,Sweden,2,0,0,6,2
2021-09-10,Afghanistan,6,1,1,25,7
2021-09-10,Australia,2,1,2,17,3
2021-09-10,Sweden,2,0,0,7,1
2021-09-11,Afghanistan,6,0,2,25,7
2021-09-11,Australia,2,1,2,17,3
2021-09-11,Sweden,2,0,0,7,1
2021-09-12,Afghanistan,6,0,1,26,7
2021-09-12,Australia,2,2,1,17,3
2021-09-12,Sweden,2,0,0,7,1
2021-09-13,Afghanistan,6,0,1,27,6
2021-09-13,Australia,2,2,0,18,3
2021-09-13,Sweden,2,0,0,7,1
2021-09-14,Afghanistan,6,0,1,27,6
2021-09-14,Australia,2,2,0,18,3
2021-09-14,Sweden,2,0,0,7,1
2021-09-15,Afghanistan,6,0,0,31,3
2021-09-15,Australia,2,2,0,19,2
2021-09-15,Sweden,2,0,0,7,1
2021-09-16,Afghanistan,6,0,0,31,3
2021-09-16,Australia,2,2,0,19,2
2021-09-16,Sweden,2,0,0,7,1
2021-09-17,Afghanistan,6,1,0,32,1
2021-09-17,Australia,2,2,0,19,2
2021-09-17,Sweden,2,0,0,7,1
2021-09-18,Afghanistan,6,1,0,32,1
2021-09-18,Australia,2,2,0,19,2
2021-09-18,Sweden,2,0,0,7,1
2021-09-19,Afghanistan,6,0,1,32,1
2021-09-19,Australia,2,1,1,19,2
2021-09-19,Sweden,2,0,0,7,1
2021-09-20,Afghanistan,6,0,1,32,1
2021-09-20,Australia,2,1,1,19,2
2021-09-20,Sweden,2,0,0,8,0
2021-09-21,Afghanistan,6,0,1,32,1
2021-09-21,Australia,2,1,1,20,1
2021-09-21,Sweden,2,0,0,8,0
2021-09-22,Afghanistan,6,0,1,32,1
2021-09-22,Australia,2,1,1,20,1
2021-09-22,Sweden,2,0,0,8,0
2021-09-23,Afghanistan,6,0,0,33,1
2021-09-23,Australia,2,1,0,21,1
2021-09-23,Sweden,2,0,0,8,0
2021-09-24,Afghanistan,6,0,0,33,1
2021-09-24,Australia,2,1,0,21,1
2021-09-24,Sweden,2,1,0,7,0
2021-09-25,Afghanistan,6,1,0,32,1
2021-09-25,Australia,2,1,0,21,1
2021-09-25,Sweden,2,1,0,7,0
2021-09-26,Afghanistan,6,1,0,33,0
2021-09-26,Australia,2,1,0,21,1
2021-09-26,Sweden,2,1,0,7,0
2021-09-27,Afghanistan,6,1,0,33,0
2021-09-27,Australia,2,1,0,21,1
2021-09-27,Sweden,2,1,0,7,0
2021-09-28,Afghanistan,6,0,1,33,0
2021-09-28,Australia,2,1,0,21,1
2021-09-28,Sweden,2,1,0,7,0
2021-09-29,Afghanistan,6,0,1,33,0
2021-09-29,Australia,2,1,0,21,1
2021-09-29,Sweden,2,0,1,7,0
2021-09-30,Afghanistan,6,0,1,33,0
2021-09-30,Australia,2,1,0,21,1
2021-09-30,Sweden,2,0,1,7,0
2021-10-01,Afghanistan,6,0,1,33,0
2021-10-01,Australia,2,1,0,21,1
2021-10-01,Sweden,2,0,1,7,0
2021-10-02,Afghanistan,6,0,0,34,0
2021-10-02,Australia,2,1,0,21,1
2021-10-02,Sweden,2,0,1,7,0
2021-10-03,Afghanistan,6,0,0,34,0
2021-10-03,Australia,2,1,0,21,1
2021-10-03,Sweden,2,0,0,7,1
2021-10-04,Afghanistan,6,0,0,34,0
2021-10-04,Australia,2,1,0,21,1
2021-10-04,Sweden,2,0,0,7,1
2021-10-05,Afghanistan,6,0,0,34,0
2021-10-05,Australia,2,1,0,21,1
2021-10-05,Sweden,2,0,0,7,1
2021-10-06,Afghanistan,6,0,0,34,0
2021-10-06,Australia,2,1,0,21,1
2021-10-06,Sweden,2,0,0,7,1
2021-10-07,Afghanistan,6,0,0,34,0
2021-10-07,Australia,2,1,0,22,0
2021-10-07,Sweden,2,0,0,7,1
2021-10-08,Afghanistan,6,0,0,34,0
2021-10-08,Australia,2,1,0,22,0
2021-10-08,Sweden,2,0,0,7,1
2021-10-09,Afghanistan,6,0,0,34,0
2021-10-09,Australia,2,1,0,22,0
2021-10-09,Sweden,2,0,0,7,1
2021-10-10,Afghanistan,6,0,0,34,0
2021-10-10,Australia,2,1,0,22,0
2021-10-10,Sweden,2,0,0,7,1
2021-10-11,Afghanistan,6,0,0,34,0
2021-10-11,Australia,2,1,0,22,0
2021-10-11,Sweden,2,0,0,7,1
2021-10-12,Afghanistan,6,0,0,34,0
2021-10-12,Australia,2,1,0,22,0
2021-10-12,Sweden,2,0,0,7,1
2021-10-13,Afghanistan,6,0,0,34,0
2021-10-13,Australia,2,1,0,22,0
2021-10-13,Sweden,2,0,0,7,1
2021-10-14,Afghanistan,6,0,0,34,0
2021-10-14,Australia,2,1,0,22,0
2021-10-14,Sweden,2,0,0,7,1
2021-10-15,Afghanistan,6,0,0,34,0
2021-10-15,Australia,2,1,0,22,0
2021-10-15,Sweden,2,0,0,7,1
2021-10-16,Afghanistan,6,0,0,34,0
2021-10-16,Australia,2,1,0,22,0
2021-10-16,Sweden,2,0,0,7,1
2021-10-17,Afghanistan,6,0,0,34,0
2021-10-17,Australia,2,1,0,22,0
2021-10-17,Sweden,2,0,0,8,0
2021-10-18,Afghanistan,6,0,0,34,0
2021-10-18,Australia,2,1,0,22,0
2021-10-18,Sweden,2,0,0,8,0
2021-10-19,Afghanistan,6,0,0,34,0
2021-10-19,Australia,2,1,0,22,0
2021-10-19,Sweden,2,0,0,8,0
2021-10-20,Afghanistan,6,0,0,34,0
2021-10-20,Australia,2,0,1,22,0
2021-10-20,Sweden,2,0,0,8,0
2021-10-21,Afghanistan,6,0,0,34,0
2021-10-21,Australia,2,0,1,22,0
2021-10-21,Sweden,2,0,0,8,0
2021-10-22,Afghanistan,6,0,0,34,0
2021-10-22,Australia,2,0,1,22,0
2021-10-22,Sweden,2,0,0,8,0
2021-10-23,Afghanistan,6,0,0,34,0
2021-10-23,Australia,2,0,1,22,0
2021-10-23,Sweden,2,0,0,8,0
2021-10-24,Afghanistan,6,0,0,34,0
2021-10-24,Australia,2,0,0,22,1
2021-10-24,Sweden,2,0,0,8,0
2021-10-25,Afghanistan,6,0,0,34,0
2021-10-25,Australia,2,0,0,22,1
2021-10-25,Sweden,2,0,0,8,0
2021-10-26,Afghanistan,6,0,0,34,0
